Unnamed: 0,Sales_Tax__c,Total_Cost__c,Total_Price__c,BurUnitCost__c,Product_Family__c,Packaging,Product,CreatedDate_month,CreatedDate_year
12046,,,12508.65,,Hydraulic Fluid, Bulk,DynaPlex AW 68 Hyd Oil Plus ,Dec,2022
44780,,780.0,975.0,0.0,Motor Oil, Bulk,Lukoil SB SAE 5W-30 SQ/GF-7A,Jun,2024
47985,,208.35,186.15,0.0,Motor Oil, 12/1 Qt,Lukoil FS SAE 5W-30 SP/GF-6A ,Aug,2024
7879,,,387.6,,Motor Oil, Epack,Goodyear SB SAE 5W-20 SQ/GF-7A,Oct,2022
2271,,,35070.0,,Motor Oil, Bulk,Sunoco Super C Gold 15W-40 CK-4/SN ,Jun,2023
23586,,,,,Motor Oil, 12/1 Qt,Sunoco Ultra FS SAE 10W-30 SQ/GF-7A,Apr,2023
39415,,5369.61,6946.0,0.00086,Hydraulic Fluid, Bulk,Sunoco Sunvis 846,Mar,2024
31900,,1843.29,2142.0,2.17524,Motor Oil, 12/1 Qt,Sunoco Ultra SB SAE 5W-30 SP/GF-6A ,Nov,2023
52543,,25121.98,33960.0,0.01895,Motor Oil, Bulk,Exxon SuperFlo FS 0W-20 Dexos1/SP/GF-6A ,Oct,2024
38903,,5287.49,6935.25,0.00087,Motor Oil, Bulk,Sunoco Ultra SB SAE 5W-20 SQ/GF-7A,Mar,2024
30951,,,,,Motor Oil, Bulk,Medallion Plus FS SAE 0W-20 SQ/GF-7A,Oct,2023
54222,,5212.83,5504.5,0.05868,Transmission Fluid, Bulk,Sunoco Universal TH Fluid ,Nov,2024
27241,,,,,Motor Oil, 12/1 Qt,Lukoil FS SAE 0W-20 SP/GF-6A ,Aug,2023
44474,,4595.67,4996.71,0.106,Motor Oil, Bulk,Sealube Power 4030,Jun,2024
28792,,,,,Motor Oil, Bulk,Advantage FS 0W-20 Dexos1/SP/GF-6A ,Sep,2023
