Id,Name,CreatedDate,Brand_Code__c,Category__c,Packaging_Type__c,ccrz__ParentProduct__c,Royalty__c,Royalty_Type__c,Blending__c,COG_Subtotal__c,Net_Volume__c,Purchase_Price__c,ccrz__Quantityperunit__c,Raw_Material__c
a1FQk000000AwFdMAK,931-005-M,2024-03-07T19:08:14.000+0000,,Additives,PAIL,,False,Absolute,,63.0,5.0,,1,
a1F5d00000nmZ5NEAU,6513-055,2022-03-15T14:35:34.000+0000,30.0,Automotive,DRUM,a1F3h000000mqHbEAI,False,Absolute,0.25,629.64,55.0,,1,5.88
a1FQk0000004J7JMAU,5405312-M,2023-11-13T18:57:56.000+0000,,Industrial,DRUM,,False,Absolute,,211.2,55.0,,1,
a1FQk000000VRgfMAG,224118990-M,2024-08-07T16:42:24.000+0000,,Automotive,BULK,,False,Absolute,,0.0,1.0,,1,
a1F5d00000nm6r5EAA,7243-014,2022-01-30T19:16:34.000+0000,76.0,Automotive,40 PACK,a1F3h0000003SJIEA2,False,Absolute,,124.95,35.0,0.0,1,
a1FQk000000R9laMAC,31317-004,2024-07-09T17:38:57.000+0000,91.0,Automotive,4/1 GAL,a1FQk000000PlGfMAK,False,Absolute,,32.93,4.0,,1,
a1F5d00000nmW0OEAU,9683-005,2022-03-13T17:42:57.000+0000,30.0,Industrial,PAIL,a1F5d00000nmW0JEAU,False,Absolute,,159.0,5.0,142.5,1,
a1FQk000000xgzJMAQ,481-000,2025-01-08T13:21:46.000+0000,20.0,Industrial,BULK,a1FQk000000xguTMAQ,False,Absolute,,4.0,1.0,,1,
a1F5d00000nfc7qEAA,423130,2022-04-01T15:46:55.000+0000,50.0,Industrial,PAIL,a1F3h0000003SHtEAM,False,Absolute,,37.72,5.0,,1,
a1FQk00000094fVMAQ,5145700,2024-02-07T17:10:02.000+0000,85.0,Industrial,BULK,a1FQk0000008emfMAA,False,Absolute,,19.62,1.0,,1,
a1F5d00000r829dEAA,12113-275-M,2022-08-16T17:12:04.000+0000,,Process Oils,TOTE-275,,False,Absolute,,1539.0,225.0,,1,
a1F5d00000nmVxbEAE,OS-102032-55,2022-03-11T20:21:29.000+0000,78.0,Industrial,DRUM,a1F3h0000003SNSEA2,False,Absolute,,270.55,55.0,,1,
a1F5d00000nmVxqEAE,OS-108500-55,2022-03-11T20:56:18.000+0000,78.0,Industrial,DRUM,a1F3h0000003SPAEA2,False,Absolute,,309.69,55.0,,1,
a1FQk000000b7P7MAI,199654-M,2024-08-30T15:39:23.000+0000,,Marine,DRUM,,False,Absolute,,0.0,55.0,,1,
a1F5d00000qJVfLEAW,17055-275-M,2022-05-16T13:33:21.000+0000,,Automotive,TOTE-275,,False,Absolute,,2081.42,275.0,,1,
